id,BZID,State,Headline,Owner,Contacter
SPCSS00503998,919222,Opened,[SC7731E][CARON][cm05]【量产加急】客户反馈：内存只剩500M，联系人4000条，短信存10000条，进入联系人时响应慢,wangwp0829,龚玲珑
SPCSS00501297,914684,Opened,[SC7731E][CARON][cm05]客户反馈：打开Gmial时间太慢为4425MS，lava对比机SP502:1967MS，请优化,sam.chiu,龚玲珑
SPCSS00500148,912875,Opened,[SC7731E][CARON][CM05]【申请加急处理】GSI 测试项：CtsJvmtiTrackingHostTestCases--android.jvmti.cts.JvmtiHostTestAllocationTracking#testJvmti fail,leon.wang,罗承军
SPCSS00499375,911619,Opened,[SC7731E][CARON][cm05]【量产加急】客户反馈：Play store is not Auto Updating Pre installed apps over Wi-Fi at 04:59 PM,sam.chiu,龚玲珑
SPCSS00496957,907649,Opened,[SC7731E][CARON][CM05]【量产加急】客户反馈：CM05后摄像头主观优化,qiao.lei,罗荣花
SPCSS00503807,918810,Opened,[SC7731E][CARON][CM05]【申请加急处理】GTS 测试项：GtsPer  GtsPermissionTestCases--com.google.android.permission.gts.DefaultPermissionGrantPolicyTest fail,seth.lu,罗承军
SPCSS00503929,919061,Opened,[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项：CtsMediaTestCases--android.media.cts.NativeImageReaderTest#testTakePictures  fail,tangqing1214,罗承军
SPCSS00501871,915630,Opened,[SC7731E][CARON][cm05]进入相机进行拍照，拍照后查看图片-详情，按返回键返回预览界面过程中，反应慢。,qiao.lei,许娇
SPCSS00501698,915287,Opened,[SC7731E][CARON][cm05]客户反馈：Music Player not acessing MP3 files stored in SD Card,sandy.wan,许娇
SPCSS00503884,918976,Opened,[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项：CtsCameraTestCases--android.hardware.camera2.cts.MultiViewTest#testDualCameraPreview fail,langbiao.tan,罗承军
SPCSS00503428,918244,Opened,[SC7731E][CARON][CM05]GPS轨迹发生较大偏移,Heidi.Zhao,张杰
SPCSS00501394,914829,Opened,[SC7731E][CARON][cm05]客户反馈：Unable to go into messanger from facebook.,bingxing.liu,许娇
SPCSS00502348,916417,Opened,[SC7731E][CARON][cm05]客户反馈：SD Card Insertion Notification unavailable except once when we first time after Upgarding DUT insert it,yangyang0621,许娇
SPCSS00496951,907645,Opened,[SC7731E][CARON][CM05]【量产加急】客户反馈了前摄主观确认结果，申请前摄像头主观优化!,shanren.ou,罗荣花
SPCSS00494189,903874,Opened,[SC7731E][CARON][cm05]相机-打开HDR模式-逆光拍照-保持拿手机的手不动，成像慢，导致有重影,xiaowei.liu,龚玲珑
SPCSS00502846,917273,Opened,[SC7731E][CARON][CM05]CM05 项目 客户反映场测 GPS飘移问题，附件中提供了测试数据，请帮忙排查原因。,Rongsheng.Li,张杰
SPCSS00503881,918974,Opened,[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项： CtsCameraTestCases--android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceCapture fail,xiaojuan.lv,罗承军
SPCSS00503907,919046,Opened,[SC7731E][CARON][CM05]TP手势功能10%几率无响应，附件中提供了LOG，请分析。,hurryking.han,张杰
SPCSS00503926,919069,Opened,[SC7731E][CARON][CM05]GPS OTA测试FAIL， 请帮忙安排分析。,Rongsheng.Li,张杰
SPCSS00503594,918484,Opened,[SC7731E][CARON][CM05]客户场测反映GPS定位漂移，申请复测GPS OTA数据，机器上午会带到贵司，注意加急安排，下午会拿去场测。,wuqiang.li,张杰
SPCSS00503640,918542,Opened,[SC7731E][CARON][cm05]客户反馈：将差分升级包放入手机内部存储，点击本地系统升级时，无法升级，提示：无SD卡,wangjie0714,龚玲珑
SPCSS00503418,918222,Opened,[SC7731E][CARON][CM05]GPS不能搜星定位,Andy.Hao,张杰
SPCSS00488420,895654,NeedInfo,[SC7731E][CARON][CM05]墨西哥SIMLOCK需求,doris.wang,吕海庆
SPCSS00502292,916324,NeedInfo,[SC7731E][CARON][cm05]客户反馈：Multiple Time Pressing Power Key to Access to Emergency Number interface Failed,xiling1222,许娇
SPCSS00500407,913278,NeedInfo,[SC7731E][CARON][cm05]客户反馈：90%以上电量充电持续时间太长,jihang.yan,张杰
SPCSS00501596,915094,NeedInfo,[SC7731E][CARON][cm05]【量产加急】客户反馈：Vedio Player is not acessing Vedio Files from SD Card to play,sandy.wan,许娇
SPCSS00501308,914726,NeedInfo,[SC7731E][CARON][cm05]客户反馈：打开信时间太慢为3900ms，lava对比机SP502:1133MS，请优化,lubl0409,龚玲珑
SPCSS00503211,917849,NeedInfo,[SC7731E][CARON][cm05]卡1移动，卡2联通，语言为英文时，在短信界面点击右下角SIM卡图标时，卡1，卡2显示顺序相反，并都显示为中文，并且切换为卡2发送彩信时，提示错误,Glen.Wu,龚玲珑
SPCSS00502268,916279,NeedInfo,[SC7731E][CARON][cm05]客户反馈：玩游戏时出现重启,steven.ouyang,龚玲珑
SPCSS00502328,916395,NeedInfo,[SC7731E][CARON][cm05]客户反馈：UC Browser In Default SMS apps and some default app not selected by default,ellen.yang,许娇
SPCSS00499780,912288,NeedInfo,[SC7731E][CARON][cm05]客户反馈： while draw flash light gesture screen is on and when i click power key flash light not off.,xiling1222,龚玲珑
SPCSS00500404,913276,NeedInfo,[SC7731E][CARON][cm05]客户反馈：放电至自动挂机，连接充电器无法立刻开机，万用表实测3.57V，拔电池插充电器能立即开机,jihang.yan,张杰
SPCSS00503942,919082,NeedInfo,[SC7731E][CARON][CM05]过放启动时间测试：A/B配置手机插入USB/充电器充电激活，手机第一次亮屏后，电池电压2.8V；（标准：3.2V±0.05V）,wei.peng,张杰
